Extracted_State,Search_City,Station_Name,Address,Raw_Details
Unknown State,Bengaluru,99,.,"99 | . | Shell Recharge Brookfield | Graphite India Main Road, ITPL Main Rd, Hoodi, , Bengaluru, Karnataka, 560048 | Shell Recharge (IN) | Fast DC | up to | 120 | kW | Connectors: | CCS (Type 2) · IEC 60309 3-pin | Cost: | 23/kWh | Directions"
Unknown State,Bengaluru,100,.,"100 | . | BMW Deutsche Motoren | 217, 2, ITPL Main Road, Doddanakundi Industrial Area 2, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka, 560048 | (Unknown Operator) | Fast DC | up to | 50 | kW | Connectors: | CCS (Type 2) · Type 2 (Tethered Connector) | Directions"
Unknown State,Bengaluru,101,.,"101 | . | Fairfield by Marriott, Mahadevapura | 3-A1 Kundanahalli Main Road, Mahadevpura, opposite IFB Campus, Whitefield, Bengaluru, Karnataka, 560048 | Chargezone (India) | Fast DC | up to | 30 | kW | Connectors: | CCS (Type 2) | Cost: | 21/kWh | Directions"
Unknown State,Bengaluru,102,.,"102 | . | Epitome KIA Whitefield | 19/A, Hoodi Main Road, Doddanakundi Industrial Area 2, Seetharampalya, Hoodi, Bengaluru, Karnataka, 560048 | Tata Power | Fast DC | up to | 150 | kW | Connectors: | CCS (Type 2) | Cost: | 21/kWh | Directions"
Unknown State,Bengaluru,103,.,"103 | . | Lithium Urban Tech Pvt Ltd | 158, ITPL Main Road, NCPR Industrial Layout, Doddanakundi Industrial Area 2, Seetharampalya, Hoodi, Bengaluru, Karnataka , 560048 | (Unknown Operator) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Bengaluru,104,.,"104 | . | Blusmart Charging Station (Gottigere Hub) | 52, Gottigere - Kengeri Rd, Vidyasagar Layout, Gundappa Layout, Gottigere, Bengaluru, Karnataka, 560083 | JIO BP Pulse (India) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) · IEC 60309 3-pin | Cost: | 20/kWh | Directions"
Unknown State,Bengaluru,105,.,"105 | . | Kropex Auto, Hosur Road | No 49/1, Hosur Road, Aishwarya Crystal Layout, Begur, Bengaluru, Karnataka, 560068 | Tata Power | Fast DC | up to | 25 | kW | Connectors: | CCS (Type 2) · CHAdeMO | Cost: | 21/kWh | Directions"
Unknown State,Bengaluru,106,.,"106 | . | Bellandur Charging Hub | Fitso Panathur PK Sports, Swimming, No.6, Bhoganahalli Road, Panathur Post, Bengaluru, Karnataka, 560103 | Statiq (IN) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 14.99/kWh | Directions"
Unknown State,Bengaluru,107,.,"107 | . | Prestige Technostar | ITPL Main Road Doddanakundi Industrial Area 2, Phase 1, Doddanekkundi, Bengaluru, Karnataka, 560048 | JIO BP Pulse (India) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 20/kWh | Directions"
Unknown State,Bengaluru,108,.,"108 | . | Shell Recharge Tumkur Road | Nelamangala - Majestic Service Road Dasarahalli, , Nagasandra, Bengaluru, Karnataka, 560073 | Shell Recharge (IN) | Fast DC | up to | 120 | kW | Connectors: | CCS (Type 2) | Cost: | 20/kWh | Directions"
Unknown State,Bengaluru,109,.,"109 | . | VST Central KIA | 69/2, Hesarghatta Rd, Bhuvaneshwari Nagar, Bagalakunte, Bengaluru, Karnataka 560057, Bengaluru, Karnataka, 560057 | Tata Power | Fast DC | up to | 150 | kW | Connectors: | CCS (Type 2) | Cost: | 27/kWh | Directions"
Unknown State,Bengaluru,110,.,"110 | . | Shell Recharge Hennur | Hennur Bagalur Main Rd, opp. Mantri Web City, Visthar, Bengaluru, Karnataka, 560077 | Shell Recharge (IN) | Fast DC | up to | 120 | kW | 4 | points | Connectors: | CCS (Type 2) · IEC 60309 3-pin | Cost: | 23/kWh | Directions"
Unknown State,Bengaluru,111,.,"111 | . | KHT Brookefield | #2, Kundalahalli Main Road, AECS Layout, , Marathahalli, Bengaluru, Karnataka , 560037 | Tata Power | Fast DC | up to | 25 | kW | Connectors: | CCS (Type 2) · CHAdeMO | Cost: | 21/kWh | Directions"
Unknown State,Bengaluru,112,.,"112 | . | JLR Shakti Auto | Jaguar and Land Rover, #36 Kundalahalli Main Road, AECS Layout, Brookefield, Bengaluru, Karnataka, 560037 | Tata Power | Fast DC | up to | 25 | kW | Connectors: | CCS (Type 2) · CHAdeMO | Cost: | 21/kWh | Directions"
Unknown State,Bengaluru,113,.,"113 | . | goEgo EV CHARGE PARK | SRIT House, #113/1B, ITPL Main Road, Kundalahalli, Brookefield, Bengaluru, Karnataka , 560037 | (Unknown Operator) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 25/kWh | Directions"
Unknown State,Bengaluru,114,.,"114 | . | IKEA Bengaluru | Nelamangala - Majestic Service Rd, Manjunatha Nagar, , Nagasandra, Bengaluru, Karnataka, 560073 | Zeon Charging | up to | 7.2 | kW | 3 | points | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Bengaluru,115,.,"115 | . | MG Motor Hosur Road | Old, 2B Workshop No 6, 384, 6/2 1, Hosur Road, Electronic City, Beratena Agrahara, Bengaluru, Karnataka, 560100 | Statiq (IN) | Fast DC | up to | 50 | kW | Connectors: | CCS (Type 2) · CHAdeMO | Cost: | 14.99/kWh | Directions"
Unknown State,Bengaluru,116,.,"116 | . | Shell Recharge Kanakapura Road | Kanakapura Main Rd, Uttarahalli Hobli, Bengaluru, Karnataka, 560062 | Shell Recharge (IN) | Fast DC | up to | 120 | kW | Connectors: | CCS (Type 2) | Cost: | 23/kWh | Directions"
Unknown State,Bengaluru,117,.,"117 | . | La Maison Citroën Hosur Road, Bengaluru | Survey No.4, Khata No. 62-4, Beratena Agrahara Village Begur Hobli, Hosur Rd, Bengaluru, Karnataka, 560100 | JIO BP Pulse (India) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 20/kWh | Directions"
Unknown State,Bengaluru,118,.,"118 | . | DivyaSree LitBox | DivyaSree Republic of Whitefield Sy. No. 36/2 & 36/3, Kundanahalli Village , EPIP Zone, Doddanakundi, Whitefield, Bengaluru, Karnataka , 560066 | Statiq (IN) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 14.99/kWh | Directions"
Unknown State,Bengaluru,119,.,"119 | . | Metro Cash&Carry | 5/2, NH - 44, Lavakusha Nagar, Konappana Agrahara, Electronic City, Bengaluru, Karnataka , 560100 | (Unknown Operator) | up to | 7.4 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Bengaluru,120,.,"120 | . | Shell Yelahanka New Town | Yelahanka Rd, Escorts Colony, Attur Layout, Yelahanka Hobli, Bengaluru, Karnataka, 560064 | Shell Recharge (IN) | Fast DC | up to | 120 | kW | Connectors: | CCS (Type 2) | Cost: | 23/kWh | Directions"
